item	sent	token_id	word	depth	ind	brn
10	455	18	head	5	8.48656177520752	9.39447744935751
10	455	19	or	5	3.70550537109375	4.61342104524374
10	455	20	shoulder	5	7.592016220092773	8.499931894242764
10	455	21	jerking	5	14.872949600219727	15.780865274369717
10	455	22	.	2	0.004647050518542528	0.5759222251363099
10	456	0	<cunkory>	4	9.369708061218262	12.592510402202606
10	456	1	<cunkER>	4	6.205262184143066	9.428064525127411
10	456	2	,	3	0.08665270358324051	1.380725271999836
10	456	3	which	5	2.1997179985046387	5.462274178862572
10	456	4	motor	6	13.240368843078613	19.39415542082861
10	456	5	<cunkER>	6	8.910633087158203	15.0644196649082
10	456	6	typically	6	5.5467329025268555	11.769533791113645
10	456	7	precede	6	16.026487350463867	19.310862370301038
10	456	8	,	3	0.00024077377747744322	1.294313342194073
10	456	9	might	3	6.567864418029785	7.22867588698864
10	456	10	include	4	5.781802177429199	6.655851498246193
10	456	11	repetitive	5	14.112434387207031	15.049165815114975
10	456	12	<unkly>	7	5.509713172912598	16.191842168569565
10	456	13	,	6	1.6307986974716187	8.978011101484299
10	456	14	sniffing	7	16.37668228149414	24.294319063425064
10	456	15	,	6	0.5656756162643433	7.912888020277023
10	456	16	or	6	1.6364665031433105	8.98367890715599
10	456	17	grunting	7	16.122087478637695	23.61187542974949
10	456	18	sounds	5	11.268189430236816	12.20492085814476
10	456	19	.	2	0.0035764321219176054	0.5748516067396849
10	457	0	Complex	3	14.149701118469238	15.443773686885834
10	457	1	<cunkER>	3	5.716327667236328	7.010400235652924
10	457	2	are	4	5.655189514160156	9.241559013724327
10	457	3	distinct	7	15.137008666992188	23.000828191637993
10	457	4	,	7	4.817679405212402	12.681498929858208
10	457	5	coordinated	7	13.3768310546875	21.240650579333305
10	457	6	patterns	7	8.42458724975586	16.288406774401665
10	457	7	of	7	0.9272626042366028	7.065212473273277
10	457	8	movement	8	8.524857521057129	14.679840628057718
10	457	9	that	7	0.23635563254356384	8.66946217417717
10	457	10	involve	8	7.614322185516357	16.125809917226434
10	457	11	several	9	6.358241558074951	14.988806152716279
10	457	12	muscle	9	9.905231475830078	18.535796070471406
10	457	13	groups	9	4.847095966339111	13.47766056098044
